subject,condition,n_samples,non_gap_samples,non_gap_coverage,recognized_aoi_samples,sample_interval_s,fixation_events,condition_primary_pass,condition_pass_40,condition_pass_60,eye_included,conditions,min_coverage,total_events,eye_included_40,eye_included_60
202512031412,zero_gravity,8591,7953.0,0.9257362355953904,6969.0,0.0333333333330188,384.0,True,True,True,True,2,0.9257362355953904,682.0,True,True
202512031441,gravity,14060,11386.0,0.8098150782361309,8882.0,0.0166666666669925,525.0,True,True,True,True,2,0.8098150782361309,1008.0,True,True
202512031441,zero_gravity,13551,11193.0,0.8259907017932256,8519.0,0.0166666666669925,483.0,True,True,True,True,2,0.8098150782361309,1008.0,True,True
202512031606,gravity,7803,6398.0,0.8199410483147508,5630.0,0.0333333333330188,355.0,True,True,True,True,2,0.7988293676040209,654.0,True,True
202512031606,zero_gravity,7859,6278.0,0.7988293676040209,4379.0,0.0333333333330188,299.0,True,True,True,True,2,0.7988293676040209,654.0,True,True
202512040951,gravity,6264,5819.0,0.9289591315453384,4697.0,0.0333333333330188,254.0,True,True,True,True,2,0.8465804066543438,539.0,True,True
202512040951,zero_gravity,7574,6412.0,0.8465804066543438,4889.0,0.0333333333330188,285.0,True,True,True,True,2,0.8465804066543438,539.0,True,True
202512041403,gravity,7239,6351.0,0.8773311230832987,5480.0,0.0333333333330188,316.0,True,True,True,True,2,0.8668211559432933,633.0,True,True
202512041403,zero_gravity,7336,6359.0,0.8668211559432933,5834.0,0.0333333333330188,317.0,True,True,True,True,2,0.8668211559432933,633.0,True,True
202512041433,gravity,14130,13049.0,0.9234961075725407,8830.0,0.0166666666669925,508.0,True,True,True,True,2,0.9234961075725407,1036.0,True,True
202512041433,zero_gravity,14241,13387.0,0.9400323011024506,9000.0,0.0166666666669925,528.0,True,True,True,True,2,0.9234961075725407,1036.0,True,True
202512041608,gravity,12796,12201.0,0.9535010940919038,11095.0,0.0166666666669925,477.0,True,True,True,True,2,0.9309290474323796,935.0,True,True
202512041608,zero_gravity,12755,11874.0,0.9309290474323796,11295.0,0.0166666666669925,458.0,True,True,True,True,2,0.9309290474323796,935.0,True,True
202512041624,gravity,7041,5954.0,0.8456185200965772,5125.0,0.0333333333330188,261.0,True,True,True,True,2,0.7936463703497283,559.0,True,True
202512041624,zero_gravity,7177,5696.0,0.7936463703497283,4947.0,0.0333333333330188,298.0,True,True,True,True,2,0.7936463703497283,559.0,True,True
202512041627,gravity,13849,13306.0,0.9607913928803524,11759.0,0.0166666666669925,543.0,True,True,True,True,2,0.9579601657532416,996.0,True,True
202512041627,zero_gravity,14962,14333.0,0.9579601657532416,10387.0,0.0166666666669925,453.0,True,True,True,True,2,0.9579601657532416,996.0,True,True
202512051006,gravity,14304,13846.0,0.9679809843400448,9861.0,0.0166666666669925,411.0,True,True,True,True,2,0.9679809843400448,827.0,True,True
202512051006,zero_gravity,15719,15389.0,0.9790062981105668,9730.0,0.0166666666669925,416.0,True,True,True,True,2,0.9679809843400448,827.0,True,True
202512051012,gravity,6634,5988.0,0.902622851974676,4676.0,0.0333333333330188,235.0,True,True,True,True,2,0.902622851974676,438.0,True,True
202512051012,zero_gravity,7005,6726.0,0.96017130620985,5449.0,0.0333333333330188,203.0,True,True,True,True,2,0.902622851974676,438.0,True,True
202512051458,gravity,13542,11096.0,0.8193767538029834,10855.0,0.0166666666669925,455.0,True,True,True,True,2,0.7926560958956073,867.0,True,True
202512051458,zero_gravity,13181,10448.0,0.7926560958956073,10214.0,0.0166666666669925,412.0,True,True,True,True,2,0.7926560958956073,867.0,True,True
202512051625,gravity,6874,6177.0,0.8986034332266511,5773.0,0.0333333333330188,336.0,True,True,True,True,2,0.8897882099015243,670.0,True,True
202512051625,zero_gravity,7413,6596.0,0.8897882099015243,6162.0,0.0333333333330188,334.0,True,True,True,True,2,0.8897882099015243,670.0,True,True
202512081052,gravity,13274,11197.0,0.8435287027271358,8265.0,0.0166666666669925,464.0,True,True,True,True,2,0.7896469180131658,771.0,True,True
202512081052,zero_gravity,16710,13195.0,0.7896469180131658,5132.0,0.0166666666669925,307.0,True,True,True,True,2,0.7896469180131658,771.0,True,True
202512081420,gravity,14361,13606.0,0.947427059396978,11206.0,0.0166666666669925,571.0,True,True,True,True,2,0.9136945276340864,1094.0,True,True
202512081420,zero_gravity,14692,13424.0,0.9136945276340864,11081.0,0.0166666666669925,523.0,True,True,True,True,2,0.9136945276340864,1094.0,True,True
202512081422,gravity,7313,6621.0,0.9053739915219472,5406.0,0.0333333333330188,310.0,True,True,True,True,2,0.9053739915219472,583.0,True,True
202512081422,zero_gravity,7610,6976.0,0.916688567674113,4606.0,0.0333333333330188,273.0,True,True,True,True,2,0.9053739915219472,583.0,True,True
202512081618,gravity,13121,12874.0,0.9811752153037115,11731.0,0.0166666666669925,569.0,True,True,True,True,2,0.9621416234887736,1176.0,True,True
202512081618,zero_gravity,14475,13927.0,0.9621416234887736,13179.0,0.0166666666669925,607.0,True,True,True,True,2,0.9621416234887736,1176.0,True,True
202512081629,gravity,6657,6216.0,0.9337539432176656,5593.0,0.0333333333330188,329.0,True,True,True,False,2,0.4770800211976682,533.0,True,False
202512081629,zero_gravity,7548,3601.0,0.4770800211976682,3167.0,0.0333333333330188,204.0,False,True,False,False,2,0.4770800211976682,533.0,True,False
202512081637,gravity,13941,13508.0,0.9689405351122587,11416.0,0.0166666666669925,357.0,True,True,True,True,2,0.9689405351122587,759.0,True,True
202512081637,zero_gravity,14003,13649.0,0.9747197029208028,12925.0,0.0166666666669925,402.0,True,True,True,True,2,0.9689405351122587,759.0,True,True
202512090949,gravity,15707,12662.0,0.806137390972178,9406.0,0.0166666666669925,534.0,True,True,True,True,2,0.7647222686500641,1139.0,True,True
202512090949,zero_gravity,17949,13726.0,0.7647222686500641,10039.0,0.0166666666669925,605.0,True,True,True,True,2,0.7647222686500641,1139.0,True,True
202512091002,gravity,7262,5457.0,0.7514458826769485,3953.0,0.0333333333330188,288.0,True,True,True,False,2,0.4119562000591891,429.0,True,False
202512091002,zero_gravity,6758,2784.0,0.4119562000591891,1669.0,0.0333333333330188,141.0,False,True,False,False,2,0.4119562000591891,429.0,True,False
