subject,condition,accuracy,answer_rt_median,answer_rt_mean,confidence_mean,confidence_rt_median,auc,n_valid,n_confidence
202512171417,zero_gravity,0.6857142857142857,783.2229,968.8589085714284,6.514285714285714,315.9351,0.6969696969696969,35,35
202512171421,gravity,0.3611111111111111,674.72,698.6547222222223,6.944444444444445,524.8126,0.5434782608695652,36,36
202512171421,zero_gravity,0.4722222222222222,758.0382999999999,793.6908416666668,6.777777777777778,599.9259999999999,0.5433436532507739,36,36
202512171627,gravity,0.5833333333333334,866.1195,1036.5864777777779,7.0,399.35900000000004,,36,36
202512171627,zero_gravity,0.42857142857142855,716.2898,883.7406428571429,7.0,350.0925,,35,35
202512180957,gravity,0.75,1215.9805000000001,1372.6392333333333,5.294117647058823,1399.521,0.5504807692307692,36,34
202512180957,zero_gravity,0.6363636363636364,1331.391,1389.139506060606,4.878787878787879,1464.854,0.5535714285714286,33,33
202512181416,gravity,0.75,1465.7275,1482.1896166666663,6.805555555555555,1099.5785,0.6666666666666667,36,36
202512181416,zero_gravity,0.8055555555555556,1107.5525,1313.0507166666666,6.888888888888889,1116.9075,0.5541871921182266,36,36
202512181429,gravity,0.7878787878787878,1149.146,1322.488,5.818181818181818,632.9556,0.456043956043956,33,33
202512181429,zero_gravity,0.6111111111111112,1374.771,1383.5070305555555,4.9714285714285715,698.7275,0.6188811188811189,36,35
202512181505,gravity,0.5,833.04025,916.8246833333334,7.0,416.97180000000003,,36,36
202512181505,zero_gravity,0.5,857.92935,901.3269722222223,6.833333333333333,366.6372,0.4722222222222222,36,36
202512191005,gravity,0.8611111111111112,632.74645,756.8582305555555,6.222222222222222,366.13305,0.7129032258064516,36,36
202512191005,zero_gravity,0.8888888888888888,641.9557,881.9242250000001,6.055555555555555,331.88509999999997,0.5859375,36,36
202512191420,gravity,0.8857142857142857,999.522,1151.158757142857,5.085714285714285,1016.432,0.935483870967742,35,35
202512191420,zero_gravity,0.8333333333333334,1057.894,1176.2385138888887,4.685714285714286,499.6572,0.6266666666666667,36,35
202512191437,gravity,0.8857142857142857,1116.849,1328.7898514285712,5.117647058823529,1083.25945,0.7916666666666667,35,34
202512191437,zero_gravity,0.8333333333333334,1198.7465,1348.5669555555555,5.25,1158.0175,0.6388888888888888,36,36
202512191555,gravity,0.7777777777777778,1349.1535,1419.0264249999998,5.617647058823529,1157.4675000000002,0.5396825396825397,36,34
202512191555,zero_gravity,0.7714285714285715,1299.531,1350.3302857142858,5.371428571428571,1466.154,0.6851851851851851,35,35
202512221005,gravity,0.7714285714285715,1499.501,1551.42766,3.5428571428571427,916.5366,0.7337962962962964,35,35
202512221005,zero_gravity,0.8055555555555556,1441.1599999999999,1498.6573305555553,3.6944444444444446,891.2611999999999,0.4285714285714286,36,36
202512221010,gravity,0.5294117647058824,1257.9225,1359.1130029411765,4.970588235294118,523.57275,0.53125,34,34
202512221010,zero_gravity,0.45454545454545453,1316.461,1319.6102515151515,5.0,382.7471,,33,33
202512221011,gravity,0.7352941176470589,1466.1860000000001,1542.482688235294,6.617647058823529,665.90895,0.5911111111111111,34,34
202512221011,zero_gravity,0.7714285714285715,1449.582,1520.6066942857144,6.470588235294118,1149.5405,0.5721153846153846,35,34
202512221421,gravity,0.6764705882352942,1124.3005,1260.1959499999998,5.363636363636363,1083.229,0.396694214876033,34,33
202512221421,zero_gravity,0.7142857142857143,1583.676,1506.8628628571428,4.514285714285714,1266.047,0.7280000000000001,35,35
202512221617,gravity,0.7714285714285715,1116.272,1246.720497142857,4.6571428571428575,865.8071,0.47685185185185186,35,35
202512221617,zero_gravity,0.6,1200.157,1141.9365200000002,4.485714285714286,917.051,0.6224489795918368,35,35
202512221633,gravity,0.8888888888888888,848.3323,923.515425,4.314285714285714,1432.442,0.6733870967741935,36,35
202512221633,zero_gravity,0.8055555555555556,840.2873500000001,837.4266638888889,4.722222222222222,1490.8980000000001,0.7339901477832512,36,36
202512231002,gravity,0.9166666666666666,957.2685,1128.4344333333333,6.833333333333333,324.2319,0.6666666666666667,36,36
202512231002,zero_gravity,0.8333333333333334,799.5072,949.7658055555556,6.666666666666667,299.47935,0.6666666666666667,36,36
202512231014,gravity,0.8571428571428571,1181.693,1330.2311799999998,6.771428571428571,1016.484,0.54,35,35
202512231014,zero_gravity,0.8484848484848485,1066.386,1239.40243030303,6.515151515151516,1099.599,0.7535714285714286,33,33
202512231610,gravity,0.6285714285714286,1497.778,1600.2586371428572,4.705882352941177,1350.493,0.375,35,34
202512231610,zero_gravity,0.5833333333333334,1156.727,1219.0148944444445,4.222222222222222,1190.412,0.5634920634920635,36,36
202512231626,gravity,0.5277777777777778,1108.248,1369.4935166666664,5.055555555555555,632.6487,0.6238390092879256,36,36
202512231626,zero_gravity,0.3888888888888889,791.3232499999999,1157.486336111111,5.388888888888889,658.3882,0.6493506493506493,36,36
202512241001,gravity,0.5277777777777778,932.9498,1036.8401666666666,6.722222222222222,825.1685,0.43962848297213625,36,36
202512241001,zero_gravity,0.4722222222222222,917.28895,1211.1201749999998,6.388888888888889,832.27625,0.39009287925696595,36,36
202512241020,gravity,0.6571428571428571,733.1636,992.9650114285714,5.885714285714286,566.3813,0.7155797101449275,35,35
202512241020,zero_gravity,0.6388888888888888,750.1455000000001,890.8545916666667,5.694444444444445,466.76075000000003,0.5016722408026756,36,36
202512241031,gravity,0.5,866.50595,997.8973735294118,2.0606060606060606,1283.042,0.41360294117647056,34,33
202512241031,zero_gravity,0.6,999.6655,1122.748617142857,1.9428571428571428,1249.193,0.4523809523809524,35,35
202512241428,gravity,0.8823529411764706,1016.552,1198.9562470588235,6.0588235294117645,958.0791,0.7416666666666667,34,34
202512241428,zero_gravity,0.7777777777777778,1049.6565,1165.2224888888888,6.166666666666667,891.646,0.6495535714285714,36,36
202512241442,gravity,0.75,1507.089,1670.1730625,7.0,1166.7605,,32,32
202512241442,zero_gravity,0.6285714285714286,1334.223,1443.850457142857,7.0,1166.273,,35,35
202512241627,gravity,0.7575757575757576,1233.087,1356.5923121212122,4.484848484848484,1099.575,0.45999999999999996,33,33
202512241627,zero_gravity,0.5555555555555556,1524.6419999999998,1620.1224194444446,4.916666666666667,1041.4920000000002,0.584375,36,36
202512241647,gravity,0.48484848484848486,899.7227,1212.224687878788,7.0,782.1091,,33,33
202512241647,zero_gravity,0.4722222222222222,832.7616,857.2342944444443,7.0,491.18555000000003,,36,36
202512250951,gravity,0.6,982.3887,1084.9031114285715,2.4857142857142858,1149.503,0.5085034013605442,35,35
202512250951,zero_gravity,0.6111111111111112,1041.8745,1278.2566055555558,2.388888888888889,1025.5365,0.5909090909090909,36,36
202512250959,gravity,0.7142857142857143,832.8601,903.5371485714286,2.3714285714285714,614.9092,0.794,35,35
202512250959,zero_gravity,0.42857142857142855,883.7661,965.842982857143,2.142857142857143,565.3345,0.365,35,35
202512251432,gravity,0.8235294117647058,1541.6100000000001,1659.845167647059,4.5588235294117645,1366.799,0.8065476190476191,34,34
202512251432,zero_gravity,0.7777777777777778,1532.9015,1607.0332722222224,4.277777777777778,1441.0729999999999,0.6629464285714285,36,36
202512251615,gravity,0.6388888888888888,1066.267,1163.8644805555552,5.083333333333333,832.1123,0.568561872909699,36,36
202512251615,zero_gravity,0.45714285714285713,1414.399,1475.6129428571428,1.2,449.9814,0.42105263157894735,35,35
202512251624,gravity,0.4722222222222222,808.2961499999999,919.324536111111,6.944444444444445,815.8091999999999,0.4411764705882353,36,36
202512251624,zero_gravity,0.5,799.90915,858.1928166666664,6.944444444444445,824.68165,0.5277777777777778,36,36
202512260959,gravity,0.6571428571428571,1350.062,1370.0423885714285,5.914285714285715,1165.667,0.42391304347826086,35,35
202512260959,zero_gravity,0.5,1423.6860000000001,1455.787339722222,5.542857142857143,1515.637,0.573529411764706,36,35
202512261002,gravity,0.8787878787878788,1133.393,1333.1588363636363,7.0,1033.519,,33,33
202512261002,zero_gravity,0.8333333333333334,1007.8849,1215.797213888889,7.0,1007.8785,,36,36
202512261030,gravity,0.7428571428571429,700.6316,774.1948657142856,6.0,548.0571,0.46153846153846156,35,35
