"term","estimate","std_error","statistic","p_value","model","odds_ratio","ci_low","ci_high"
"conditionzero_gravity:size_pair1.0_0.8","0.323437626162341","0.141777486153766","2.28130456348728","0.0225304308764369","confidence_clmm","1.38186996104728","1.04660726169706","1.82452832034481"
"conditionzero_gravity:size_pair1.0_0.9","0.121115741341207","0.148833452382382","0.813766928083061","0.415778484488808","confidence_clmm","1.12875554848828","0.843160603131267","1.5110870734608"
"conditionzero_gravity:size_pair1.0_1.0","-0.11112836929013","0.135163143468563","-0.822179526447439","0.410974729224289","confidence_clmm","0.894823873650508","0.686569287331857","1.16624757272003"
"(Intercept)","0.705413016460181","0.173229838963939","4.07212187391704","4.65867909062978e-05","confidence_accuracy_coupling_glmm","2.02468273955638","1.44178586913526","2.84323787853199"
"conditionzero_gravity","-0.187270567916562","0.0591653167662393","-3.16520857407835","0.00154971817801308","confidence_accuracy_coupling_glmm","0.829219345879549","0.738425849632409","0.93117639898874"
"confidence_within","0.292245045353705","0.0237567553580819","12.3015555343624","8.88464510177876e-35","confidence_accuracy_coupling_glmm","1.33943119881989","1.27849269863873","1.40327429189258"
"confidence_between","0.0394141573904596","0.0261771070293473","1.50567277530983","0.132151196124017","confidence_accuracy_coupling_glmm","1.04020120146667","0.988177469478109","1.09496378226894"
"velocity_f3","-0.0783534965472839","0.0535696455284119","-1.46264728419245","0.143563917729837","confidence_accuracy_coupling_glmm","0.924637512597276","0.8324767363994","1.02700110684161"
"velocity_f3.5","0.0902590766400038","0.0593887771535486","1.51980022095152","0.128561193584978","confidence_accuracy_coupling_glmm","1.09445779542626","0.974195841177079","1.22956577655065"
"velocity_f4","-0.104439416988634","0.050820996353202","-2.05504465640123","0.0398746916508853","confidence_accuracy_coupling_glmm","0.900829370709763","0.81542276527149","0.995181382829269"
"velocity_f4.5","-0.0378148429457349","0.055327004342471","-0.683478952008015","0.494304245820634","confidence_accuracy_coupling_glmm","0.962891210486865","0.863936704573613","1.07317987339182"
"velocity_f5","-0.122850755194099","0.0568611620183583","-2.16053894843786","0.0307309718460246","confidence_accuracy_coupling_glmm","0.884395644168045","0.791125524624106","0.988661888762903"
"size_pair0.8_0.9","-0.17901909492376","0.0606764177661489","-2.95038997875108","0.00317373055980375","confidence_accuracy_coupling_glmm","0.836089934171059","0.742342261168323","0.941676655889137"
"size_pair0.8_1.0","-0.204026178719515","0.0599605619062204","-3.40267289420363","0.000667301197365608","confidence_accuracy_coupling_glmm","0.815441023706028","0.725025189889619","0.917132359558388"
"size_pair0.9_0.8","-0.0821635584340833","0.0618065273823368","-1.3293670088568","0.183726916662829","confidence_accuracy_coupling_glmm","0.921121289219387","0.816029843227995","1.03974681378917"
"size_pair0.9_0.9","0.0905662651716053","0.0592519488586525","1.5284942844269","0.12638986154229","confidence_accuracy_coupling_glmm","1.09479405195376","0.974756527462599","1.2296137367896"
"size_pair0.9_1.0","-0.0916184957258081","0.0598038752457977","-1.53198259058046","0.125526730914553","confidence_accuracy_coupling_glmm","0.912453187943001","0.811529864414879","1.02592751874589"
"size_pair1.0_0.8","-0.0719046900174289","0.0609237754663133","-1.18024021766654","0.237904687581898","confidence_accuracy_coupling_glmm","0.93061958892127","0.825872157921818","1.04865239853016"
"size_pair1.0_0.9","-0.128185746762021","0.0629638464807566","-2.03586270418212","0.0417641438165592","confidence_accuracy_coupling_glmm","0.879689964405764","0.777559674687564","0.995234782188468"
"size_pair1.0_1.0","0.105073178833045","0.0595019967502302","1.76587651796137","0.0774165675410336","confidence_accuracy_coupling_glmm","1.1107918938361","0.988515718830935","1.24819323345835"
"target_f1","0.00876353268459779","0.0303991761159395","0.288281914324734","0.773130950061555","confidence_accuracy_coupling_glmm","1.00880204485584","0.950450826727746","1.07073563101527"
"trial_c","0.0290807024251924","0.0182784479500852","1.59098313514397","0.111613371257967","confidence_accuracy_coupling_glmm","1.02950767488881","0.993277641271133","1.06705920743226"
"trial_c2","-0.00431296396307187","0.0317671474557861","-0.135768059410267","0.8920046421083","confidence_accuracy_coupling_glmm","0.995696323509026","0.935591272104967","1.05966269482061"
"conditionzero_gravity:confidence_within","-0.0947760045364562","0.0329327477736332","-2.87786507180966","0.004003763462285","confidence_accuracy_coupling_glmm","0.909576652695349","0.852719870751942","0.970224472896267"
"conditionzero_gravity","-0.231142828626372","0.0881349106135952","-2.62260240598369","0.00872610391812912","confidence_bias_clmm","0.793626105413375","0.667719400097873","0.943274068570242"
"correct_f1","0.592933304645505","0.0510782245829828","11.6083381810229","3.73809883470028e-31","confidence_bias_clmm","1.80928783159846","1.63692582278355","1.99979889864753"
"velocity_f3","0.0485599904553643","0.0602483725574284","0.805996716493498","0.420244742367069","confidence_bias_clmm","1.04975834541256","0.932835114637781","1.18133694419428"
